UF,MUNICIPIO,TOTAL,COM_RESPONSAVEL_OU_CONJUGE_ANALFABETO,COM_SANEAMENTO_INADEQUADO,COM_RESPONSAVEL_OU_CONJUGE_ANALFABETO_E_SANEAMENTO_INADEQUADO,ADEQUADO,SEMI_ADEQUADO,INADEQUADO,ATE_RS70,ATE_SM_RS128,ATE_SM_RS255,ATE_60PC_DA_MEDIANA_RS225,POPULACAO_RESIDENTE_EM_DOMICILIOS_PARTICULARES_PERMANENTES,ATE_70_RS,ATE_SALARIO_MINIMO_127_50_RS,ATE_SALARIO_MINIMO_255_00_RS,ATE_60PC_DA_MEDIANA_0_BRASIL_TOTAL_225_00_RS,BRANCA_PRETA_A_B,BRANCA_PARDA_A_C,BRANCA_AMARELA_A_D,BRANCA_INDIGENA_A_E,PRETA_PARDA_B_C,HOMEM_A_VALOR_MEDIO,MULHER_B_VALOR_MEDIO,RAZAO_ENTRE_VALOR_MEDIO_E_MEDIANO_DO_RENDIMENTO_MENSAL_TOTAL_NOMINAL_DE_HOMENS_E_MULHERES_MEDIO_A_B,RAZAO_ENTRE_VALOR_MEDIO_E_MEDIANO_DO_RENDIMENTO_MENSAL_TOTAL_NOMINAL_DE_HOMENS_E_MULHERES_MEDIANO_C_D,DENGUE,CONTAMINACAO_INDICE
AC,ACRELANDIA,12538,22.29,48.63,15.69,5.98,44.0,50.01,23.69,47.26,75.22,68.78,11816.0,15.6,35.15,64.79,57.46,1.38,1.33,1.31,1.73,0.97,760.0,589.0,1.29,1.0,295.0,1
AC,ASSIS BRASIL,6072,42.73,45.7,27.42,18.52,46.33,35.15,45.0,67.5,88.2,83.24,5043.0,19.83,36.27,62.38,56.34,1.36,1.33,1.13,2.37,0.98,811.0,591.0,1.37,1.0,249.0,1
AC,BRASILEIA,21398,29.25,34.76,15.34,22.31,49.88,27.81,33.96,57.01,82.11,76.56,19982.0,15.94,32.61,59.47,52.5,1.46,1.37,1.35,2.3,0.94,841.0,623.0,1.35,1.0,370.0,1
AC,BUJARI,8471,36.0,46.63,22.05,9.87,44.89,45.24,25.19,48.34,74.36,68.48,8015.0,15.42,35.51,64.33,57.04,1.21,1.24,1.19,2.35,1.02,875.0,672.0,1.3,1.0,2.0,0
AC,CAPIXABA,8798,33.72,45.76,18.29,20.31,34.81,44.88,26.03,52.7,77.08,71.53,8367.0,15.15,35.39,62.79,55.86,1.43,1.5,1.32,1.5,1.05,826.0,628.0,1.31,1.0,133.0,1
AC,CRUZEIRO DO SUL,78507,35.69,34.41,18.44,9.32,67.15,23.52,36.36,61.84,85.08,80.8,72654.0,15.59,34.14,60.47,54.39,1.67,1.39,1.46,2.19,0.83,1071.0,704.0,1.52,1.0,53.0,1
AC,EPITACIOLANDIA,15100,23.66,29.07,9.07,17.22,55.39,27.4,25.6,48.41,75.67,69.55,14341.0,12.99,29.94,58.74,51.13,1.27,1.59,1.27,0.91,1.25,779.0,669.0,1.16,1.0,18.0,1
AC,FEIJO,32412,59.92,59.19,42.81,0.92,53.6,45.47,58.08,79.24,93.63,90.78,27407.0,32.93,53.28,75.73,70.62,1.31,1.38,1.34,2.46,1.05,831.0,656.0,1.27,1.0,0.0,0
AC,JORDAO,6577,46.97,70.34,39.5,4.91,33.38,61.7,52.69,78.81,91.66,89.78,5310.0,36.59,61.85,81.09,77.1,1.39,1.49,1.59,2.52,1.07,805.0,561.0,1.43,1.0,1.0,0
AC,MANCIO LIMA,15206,37.05,35.42,17.18,0.33,70.89,28.78,36.84,58.61,82.06,76.9,13776.0,27.18,45.61,69.76,64.68,1.4,1.42,1.35,1.29,1.02,901.0,652.0,1.38,1.0,1.0,0
AC,MANOEL URBANO,7981,53.77,44.73,32.99,9.42,55.6,34.98,45.45,66.41,84.51,80.25,7142.0,23.91,42.06,67.36,61.76,1.88,1.41,1.02,2.39,0.75,687.0,515.0,1.33,1.02,0.0,0
AC,MARECHAL THAUMATURGO,14227,59.53,74.26,50.36,6.25,29.38,64.36,48.49,73.15,90.49,87.31,11783.0,37.93,61.48,82.22,78.43,1.66,1.29,1.48,1.75,0.78,735.0,550.0,1.34,1.02,0.0,0
AC,PLACIDO DE CASTRO,17209,27.29,40.34,12.96,7.47,52.05,40.49,18.64,45.35,75.61,68.95,15900.0,14.64,37.02,65.55,58.56,1.12,1.04,1.12,1.09,0.92,586.0,482.0,1.22,1.0,9.0,1
AC,PORTO ACRE,14880,31.92,45.35,15.69,2.09,53.91,44.0,20.47,45.91,75.94,69.29,13032.0,14.95,38.09,68.79,60.7,1.32,1.12,1.34,1.87,0.85,816.0,621.0,1.31,1.0,27.0,1
AC,PORTO WALTER,9176,61.03,70.09,47.64,0.41,39.13,60.46,40.45,63.35,85.46,81.91,7337.0,32.06,53.39,77.46,73.4,1.1,1.22,0.61,3.03,1.11,876.0,608.0,1.44,1.0,0.0,0
AC,RIO BRANCO,336038,14.46,6.45,2.25,34.34,60.75,4.91,13.1,37.21,67.69,61.2,320579.0,3.61,15.1,40.12,32.72,1.7,1.59,1.41,1.79,0.93,1424.0,1091.0,1.3,1.37,32461.0,1
AC,RODRIGUES ALVES,14389,50.92,58.27,34.77,6.16,43.85,49.98,48.69,72.32,89.25,86.06,12777.0,37.21,59.75,79.86,75.64,1.41,1.38,1.43,1.27,0.98,748.0,535.0,1.4,1.0,0.0,0
AC,SANTA ROSA DO PURUS,4691,35.98,68.5,24.77,4.53,44.98,50.49,60.77,84.82,96.34,94.38,3185.0,36.48,55.48,73.31,69.54,1.47,1.02,1.18,2.26,0.7,887.0,727.0,1.22,1.0,0.0,0
AC,SENA MADUREIRA,38029,39.65,40.02,23.0,8.61,57.26,34.12,31.42,59.81,86.63,81.64,34539.0,16.2,36.49,64.96,58.6,1.28,1.18,0.89,1.79,0.92,734.0,565.0,1.3,1.0,150.0,1
AC,SENADOR GUIOMARD,20179,27.43,31.7,12.86,8.92,63.34,27.74,16.1,41.37,70.01,62.9,19096.0,10.09,26.91,56.0,48.7,2.09,1.81,1.81,3.61,0.86,881.0,623.0,1.41,1.0,18.0,1
AC,TARAUACA,35590,56.73,54.58,37.89,4.71,54.62,40.67,49.3,74.05,91.87,88.86,31423.0,28.24,49.97,74.95,69.47,1.27,1.2,1.46,1.57,0.95,982.0,676.0,1.45,1.0,0.0,0
AC,XAPURI,16091,33.55,39.0,19.27,18.82,51.27,29.91,33.75,59.83,84.38,79.57,14523.0,16.35,34.44,62.12,55.36,1.44,1.32,1.15,0.81,0.91,551.0,449.0,1.23,1.7,259.0,1
AL,AGUA BRANCA,19377,48.25,45.78,26.38,27.81,34.26,37.93,44.65,64.9,87.15,81.31,18483.0,31.14,50.7,77.0,69.98,1.31,1.26,1.25,1.39,0.96,565.0,410.0,1.38,1.28,1.0,0
AL,ANADIA,17424,53.96,16.54,10.2,15.24,67.94,16.82,27.72,52.7,79.97,74.04,16074.0,20.83,44.32,74.49,67.69,1.23,1.28,1.3,1.79,1.05,531.0,417.0,1.27,1.0,3.0,0
AL,ARAPIRACA,214006,33.01,4.99,2.85,16.53,79.46,4.01,30.96,53.79,83.36,76.09,203917.0,12.14,28.77,58.25,50.12,1.54,1.35,1.35,1.26,0.88,868.0,621.0,1.4,1.0,8714.0,1
AL,ATALAIA,44322,52.53,18.1,12.57,20.99,63.24,15.78,26.58,57.66,87.74,82.22,40511.0,15.9,42.67,77.44,70.28,1.29,1.27,1.27,1.35,0.99,631.0,442.0,1.43,1.02,21.0,1
AL,BARRA DE SANTO ANTONIO,14230,43.6,7.17,3.59,22.01,71.91,6.08,17.5,55.22,91.63,84.57,13065.0,19.53,44.25,77.49,70.13,1.38,1.29,1.2,1.21,0.93,602.0,453.0,1.33,1.0,3.0,0
AL,BARRA DE SAO MIGUEL,7574,37.86,6.49,3.61,51.61,44.11,4.28,22.91,51.48,90.03,82.75,7214.0,10.35,27.17,62.25,53.52,1.34,1.31,1.22,1.08,0.98,582.0,417.0,1.39,1.23,0.0,0
AL,BATALHA,17076,49.24,22.16,13.96,15.16,66.32,18.52,32.52,60.46,85.19,80.96,16560.0,18.96,42.43,73.29,66.99,1.51,1.34,1.55,1.79,0.89,632.0,457.0,1.39,1.0,0.0,0
AL,BELEM,4551,42.65,37.35,20.24,4.99,56.87,38.14,26.41,44.35,73.53,66.29,4403.0,20.99,39.43,68.88,61.16,1.7,1.59,1.41,1.79,0.93,1424.0,1091.0,1.3,1.37,25.0,1
AL,BELO MONTE,7030,54.41,38.49,27.93,11.83,52.96,35.21,45.32,66.56,88.08,83.19,6064.0,36.15,54.8,81.88,75.28,1.67,1.62,1.23,1.0,0.97,843.0,586.0,1.44,1.0,0.0,0
AL,BOCA DA MATA,25776,42.68,10.64,7.28,58.0,32.06,9.94,31.67,60.95,88.2,84.02,24033.0,17.35,39.5,72.23,64.94,1.28,1.26,1.23,1.49,0.98,625.0,407.0,1.54,1.34,127.0,1
